x,y,z
Quimifast,San_Francisco,221.886
Quimifast,San_Jose,539.261
Quimifast,Envigado,1.953
Quimifast,Punto_Azul,422.7
Alcampo,Cartagena,661.69
Alcampo,Buenaventura,811.087
Alcampo,Disinter,433.445
Alcampo,Quimifast,393.842
Alcampo,Alcampo,0
Alcampo,Reprefarco,766.688
Alcampo,Aeropuerto,446.265
Alcampo,Yumbo,761.761
Alcampo,Cartago,587.531
Alcampo,Ibague,510.64
Alcampo,Cafam,200.354
Alcampo,Disfarma,2.372
Alcampo,Cruz_Verde,483.617
Alcampo,Salud_Vida,455.675
Alcampo,Audifarma,440.792
Alcampo,San_Francisco,612.812
Alcampo,San_Jose,892.919
Alcampo,Envigado,393.593
Alcampo,Punto_Azul,391.05
Reprefarco,Cartagena,1058.076
Reprefarco,Buenaventura,118.086
Reprefarco,Disinter,550.257
Reprefarco,Quimifast,408.82
Reprefarco,Alcampo,764.109
Reprefarco,Reprefarco,0
Reprefarco,Aeropuerto,551.888
Reprefarco,Yumbo,4.939
Reprefarco,Cartago,180.057
Reprefarco,Ibague,490.574
Reprefarco,Cafam,962.101
Reprefarco,Disfarma,762.099
Reprefarco,Cruz_Verde,891.999
Reprefarco,Salud_Vida,1127.481
Reprefarco,Audifarma,552.364
Reprefarco,San_Francisco,426.022
Reprefarco,San_Jose,137.841
Reprefarco,Envigado,409.82
Reprefarco,Punto_Azul,541.55
Aeropuerto,Cartagena,1085.596
Aeropuerto,Buenaventura,505.571
Aeropuerto,Disinter,12.963
Aeropuerto,Quimifast,431.173
Aeropuerto,Alcampo,440.972
Aeropuerto,Reprefarco,461.171
Aeropuerto,Aeropuerto,0
Aeropuerto,Yumbo,456.244
Aeropuerto,Cartago,344.051
Aeropuerto,Ibague,200.485
Aeropuerto,Cafam,567.883
Aeropuerto,Disfarma,438.801
Aeropuerto,Cruz_Verde,369.403
Aeropuerto,Salud_Vida,879.581
Aeropuerto,Audifarma,9.976
Aeropuerto,San_Francisco,564.72
Aeropuerto,San_Jose,587.402
Aeropuerto,Envigado,427.521
Aeropuerto,Punto_Azul,23.477
Yumbo,Cartagena,1053.624
Yumbo,Buenaventura,122.322
Yumbo,Disinter,545.805
Yumbo,Quimifast,404.368
Yumbo,Alcampo,759.657
Yumbo,Reprefarco,5.454
Yumbo,Aeropuerto,547.436
Yumbo,Yumbo,0
Yumbo,Cartago,175.605
Yumbo,Ibague,486.122
Yumbo,Cafam,957.65
Yumbo,Disfarma,757.647
Yumbo,Cruz_Verde,887.548
Yumbo,Salud_Vida,1123.029
Yumbo,Audifarma,547.912
Yumbo,San_Francisco,421.57
Yumbo,San_Jose,143.231
Yumbo,Envigado,405.369
Yumbo,Punto_Azul,537.098
Cartago,Cartagena,879.676
Cartago,Buenaventura,225.852
Cartago,Disinter,371.856
Cartago,Quimifast,230.419
Cartago,Alcampo,585.708
Cartago,Reprefarco,181.453
Cartago,Aeropuerto,373.487
Cartago,Yumbo,176.525
Cartago,Cartago,0
Cartago,Ibague,312.173
Cartago,Cafam,783.701
Cartago,Disfarma,583.698
Cartago,Cruz_Verde,713.599
Cartago,Salud_Vida,949.08
Cartago,Audifarma,373.963
Cartago,San_Francisco,246.317
Cartago,San_Jose,307.683
Cartago,Envigado,231.42
Cartago,Punto_Azul,363.149
Ibague,Cartagena,1080.687
Ibague,Buenaventura,309.918
Ibague,Disinter,199.105
Ibague,Quimifast,426.265
Ibague,Alcampo,511.301
Ibague,Reprefarco,265.519
Ibague,Aeropuerto,199.329
Ibague,Yumbo,260.592
Ibague,Cartago,148.399
Ibague,Ibague,0
Ibague,Cafam,709.293
Ibague,Disfarma,509.29
Ibague,Cruz_Verde,553.959
Ibague,Salud_Vida,874.672
Ibague,Audifarma,191.394
Ibague,San_Francisco,369.068
Ibague,San_Jose,391.75
Ibague,Envigado,422.613
Ibague,Punto_Azul,213.022
Cafam,Cartagena,744.203
Cafam,Buenaventura,1009.719
Cafam,Disinter,559.728
Cafam,Quimifast,592.473
Cafam,Alcampo,201.56
Cafam,Reprefarco,965.319
Cafam,Aeropuerto,572.548
Cafam,Yumbo,960.392
Cafam,Cartago,786.162
Cafam,Ibague,709.272
Cafam,Cafam,0
Cafam,Disfarma,201.003
Cafam,Cruz_Verde,493.777
Cafam,Salud_Vida,538.188
Cafam,Audifarma,567.074
Cafam,San_Francisco,811.443
Cafam,San_Jose,1091.55
Cafam,Envigado,592.224
Cafam,Punto_Azul,549.286
Disfarma,Cartagena,661.727
Disfarma,Buenaventura,809.215
Disfarma,Disinter,434.161
Disfarma,Quimifast,391.969
Disfarma,Alcampo,2.966
Disfarma,Reprefarco,764.815
Disfarma,Aeropuerto,446.981
Disfarma,Yumbo,759.888
Disfarma,Cartago,585.658
Disfarma,Ibague,508.768
Disfarma,Cafam,200.958
Disfarma,Disfarma,0
Disfarma,Cruz_Verde,484.332
Disfarma,Salud_Vida,455.712
Disfarma,Audifarma,441.507
Disfarma,San_Francisco,610.939
Disfarma,San_Jose,891.046
Disfarma,Envigado,391.72
Disfarma,Punto_Azul,391.766
Cruz_Verde,Cartagena,1136.569
Cruz_Verde,Buenaventura,858.805
Cruz_Verde,Disinter,359.875
Cruz_Verde,Quimifast,636.866
Cruz_Verde,Alcampo,489.969
Cruz_Verde,Reprefarco,814.405
Cruz_Verde,Aeropuerto,372.695
Cruz_Verde,Yumbo,809.478
Cruz_Verde,Cartago,697.285
Cruz_Verde,Ibague,553.719
Cruz_Verde,Cafam,493.543
Cruz_Verde,Disfarma,487.798
Cruz_Verde,Cruz_Verde,0
Cruz_Verde,Salud_Vida,930.554
Cruz_Verde,Audifarma,367.222
Cruz_Verde,San_Francisco,917.954
Cruz_Verde,San_Jose,940.636
Cruz_Verde,Envigado,636.617
Cruz_Verde,Punto_Azul,349.434
Salud_Vida,Cartagena,370.689
Salud_Vida,Buenaventura,1186.021
Salud_Vida,Disinter,855.499
Salud_Vida,Quimifast,768.775
Salud_Vida,Alcampo,464.592
Salud_Vida,Reprefarco,1141.622
Salud_Vida,Aeropuerto,891.636
Salud_Vida,Yumbo,1136.694
Salud_Vida,Cartago,961.403
Salud_Vida,Ibague,885.568
Salud_Vida,Cafam,548.79
Salud_Vida,Disfarma,466.897
Salud_Vida,Cruz_Verde,935.721
Salud_Vida,Salud_Vida,0
Salud_Vida,Audifarma,894.442
Salud_Vida,San_Francisco,987.745
Salud_Vida,San_Jose,1267.852
Salud_Vida,Envigado,768.526
Salud_Vida,Punto_Azul,883.476
Audifarma,Cartagena,1056.676
Audifarma,Buenaventura,497.2
Audifarma,Disinter,12.528
Audifarma,Quimifast,434.476
Audifarma,Alcampo,438.768
Audifarma,Reprefarco,452.801
Audifarma,Aeropuerto,9.433
Audifarma,Yumbo,447.873
Audifarma,Cartago,334.62
Audifarma,Ibague,192.107
Audifarma,Cafam,565.679
Audifarma,Disfarma,436.597
Audifarma,Cruz_Verde,367.205
Audifarma,Salud_Vida,850.661
Audifarma,Audifarma,0
Audifarma,San_Francisco,556.349
Audifarma,San_Jose,579.031
Audifarma,Envigado,430.824
Audifarma,Punto_Azul,26.78
San_Francisco,Cartagena,869.615
San_Francisco,Buenaventura,471.538
San_Francisco,Disinter,595.247
San_Francisco,Quimifast,220.359
San_Francisco,Alcampo,612.555
San_Francisco,Reprefarco,427.139
San_Francisco,Aeropuerto,596.877
San_Francisco,Yumbo,422.212
San_Francisco,Cartago,246.863
San_Francisco,Ibague,535.556
San_Francisco,Cafam,810.548
San_Francisco,Disfarma,610.545
San_Francisco,Cruz_Verde,849.516
San_Francisco,Salud_Vida,975.927
San_Francisco,Audifarma,597.353
San_Francisco,San_Francisco,0
San_Francisco,San_Jose,553.369
San_Francisco,Envigado,221.359
San_Francisco,Punto_Azul,586.54
San_Jose,Cartagena,1186.271
San_Jose,Buenaventura,251.771
San_Jose,Disinter,579.167
San_Jose,Quimifast,537.015
San_Jose,Alcampo,892.304
San_Jose,Reprefarco,140.376
San_Jose,Aeropuerto,579.391
San_Jose,Yumbo,143.753
San_Jose,Cartago,308.243
San_Jose,Ibague,477.969
San_Jose,Cafam,1090.296
San_Jose,Disfarma,890.293
San_Jose,Cruz_Verde,934.028
San_Jose,Salud_Vida,1255.676
San_Jose,Audifarma,571.456
San_Jose,San_Francisco,554.216
San_Jose,San_Jose,0
San_Jose,Envigado,538.015
San_Jose,Punto_Azul,593.084
Envigado,Cartagena,650.77
Envigado,Buenaventura,458.339
Envigado,Disinter,432.357
Envigado,Quimifast,1.524
Envigado,Alcampo,393.71
Envigado,Reprefarco,413.94
Envigado,Aeropuerto,431.809
Envigado,Yumbo,409.013
Envigado,Cartago,233.722
Envigado,Ibague,425.735
Envigado,Cafam,591.702
Envigado,Disfarma,391.699
Envigado,Cruz_Verde,630.676
Envigado,Salud_Vida,757.082
Envigado,Audifarma,434.616
Envigado,San_Francisco,222.795
Envigado,San_Jose,540.171
Envigado,Envigado,0
Envigado,Punto_Azul,423.65
Punto_Azul,Cartagena,1036.57
Punto_Azul,Buenaventura,518.454
Punto_Azul,Disinter,22.943
Punto_Azul,Quimifast,424.669
Punto_Azul,Alcampo,391.631
Punto_Azul,Reprefarco,474.054
Punto_Azul,Aeropuerto,24.964
Punto_Azul,Yumbo,469.127
Punto_Azul,Cartago,355.874
Punto_Azul,Ibague,213.351
Punto_Azul,Cafam,548.046
Punto_Azul,Disfarma,389.46
Punto_Azul,Cruz_Verde,349.582
Punto_Azul,Salud_Vida,830.555
Punto_Azul,Audifarma,27.771
Punto_Azul,San_Francisco,577.603
Punto_Azul,San_Jose,600.285
Punto_Azul,Envigado,421.016
Punto_Azul,Punto_Azul,0
